Title,Released,Prod_Budget,Dom_Gross,World_Gross
Star Wars Ep. III: Revenge of the Sith,2005-05-19,115000000.0,380270577.0,848998877.0
The Huntsman: Winters War,2016-04-22,115000000.0,48003015.0,164602163.0
"Monsters, Inc.",2001-11-02,115000000.0,289423425.0,559757719.0
Astérix aux Jeux Olympiques,2008-07-04,113500000.0,999811.0,132999811.0
Gulliver's Travels,2010-12-25,112000000.0,42779261.0,232017848.0
Home on the Range,2004-04-02,110000000.0,50026353.0,76482461.0
The Taking of Pelham 123,2009-06-12,110000000.0,65452312.0,152364370.0
The Divergent Series: Allegiant,2016-03-18,110000000.0,66184051.0,171484051.0
Gravity,2013-10-04,110000000.0,274092705.0,716392705.0
Mr. and Mrs. Smith,2005-06-10,110000000.0,186336279.0,486124090.0
Speed II: Cruise Control,1997-06-13,110000000.0,48097081.0,150468000.0
Around the World in 80 Days,2004-06-16,110000000.0,24004159.0,72004159.0
Ocean's Twelve,2004-12-10,110000000.0,125531634.0,362989076.0
The Patriot,2000-06-28,110000000.0,113330342.0,215300000.0
Real Steel,2011-10-07,110000000.0,85463309.0,263880341.0
The Smurfs,2011-07-29,110000000.0,142614158.0,563749323.0
The A-Team,2010-06-11,110000000.0,77222099.0,177241171.0
Kingdom of Heaven,2005-05-06,110000000.0,47398413.0,218853353.0
300: Rise of an Empire,2014-03-07,110000000.0,106580051.0,330780051.0
Ender's Game,2013-11-01,110000000.0,61737191.0,89737191.0
The Green Hornet,2011-01-14,110000000.0,98780042.0,229155503.0
Night at the Museum,2006-12-22,110000000.0,250863268.0,579446407.0
Live Free or Die Hard,2007-06-27,110000000.0,134529403.0,382288147.0
The Smurfs 2,2013-07-31,110000000.0,71017784.0,348547523.0
The Aviator,2004-12-17,110000000.0,102608827.0,208370892.0
The Divergent Series: Insurgent,2015-03-20,110000000.0,130179072.0,295279072.0
San Andreas,2015-05-29,110000000.0,155190832.0,469590832.0
Tomorrow Never Dies,1997-12-19,110000000.0,125304276.0,339504276.0
Ali,2001-12-25,109000000.0,58183966.0,87683966.0
The Cat in the Hat,2003-11-21,109000000.0,101018283.0,133818283.0
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,109000000.0,315544750.0,887217688.0
The Martian,2015-10-02,108000000.0,228433663.0,640055863.0
"10,000 B.C.",2008-03-07,105000000.0,94784201.0,269065678.0
"I, Robot",2004-07-16,105000000.0,144801023.0,348629585.0
Stuart Little,1999-12-17,105000000.0,140015224.0,298815224.0
