Title,Released,Prod_Budget,Dom_Gross,World_Gross
U2 IIID,2008-01-23,15000000.0,12898847.0,26170402.0
Never Let Me Go,2010-09-15,15000000.0,2434652.0,11173718.0
The Deer Hunter,1979-01-01,15000000.0,50000000.0,50000000.0
 A VeggieTales Movie,2008-01-11,15000000.0,12981269.0,13248444.0
Bathory,2008-12-31,15000000.0,0.0,3436763.0
Beetle Juice,1988-03-30,15000000.0,73326666.0,73326666.0
The Good Night,2007-10-05,15000000.0,22441.0,22441.0
The Imitation Game,2014-11-28,15000000.0,91125143.0,227773686.0
Things to Do in Denver when Youre Dead,1995-12-01,15000000.0,529766.0,529766.0
New York Stories,1989-03-01,15000000.0,10763469.0,10763469.0
Promised Land,2012-12-28,15000000.0,7597898.0,9300336.0
Silent Trigger,1996-12-31,15000000.0,76382.0,76382.0
Broken Horses,2015-09-01,15000000.0,0.0,3471.0
Slumdog Millionaire,2008-11-12,14000000.0,141319928.0,384519665.0
Reign of Assassins,2011-12-31,14000000.0,0.0,11354230.0
New York New York,1977-06-22,14000000.0,13800000.0,13800000.0
 The Heretic,1977-06-17,14000000.0,25011000.0,25011000.0
The Spy Who Loved Me,1977-07-13,14000000.0,46800000.0,185400000.0
Dangerous Liaisons,1988-12-21,14000000.0,34700000.0,34700000.0
 A Parody,2009-10-27,14000000.0,0.0,1553556.0
Caravans,1978-01-01,14000000.0,1000000.0,1000000.0
The Iron Lady,2011-12-30,14000000.0,29959436.0,115592104.0
Taps,1981-12-09,14000000.0,35856053.0,35856053.0
Brokeback Mountain,2005-12-09,13900000.0,83043761.0,177012173.0
Clueless,1995-07-01,13700000.0,56598476.0,56598476.0
The Border,1982-01-29,13500000.0,6118683.0,6118683.0
Under the Skin,2014-04-04,13300000.0,2614251.0,7229933.0
 Never Say Never,2011-02-09,13000000.0,73013910.0,99034125.0
In The Land of Blood & Honey,2011-12-23,13000000.0,303877.0,509193.0
Good Morning Vietnam,1987-12-23,13000000.0,123922370.0,123922370.0
 The Dream Master,1988-08-19,13000000.0,49369899.0,49369899.0
Faithful,1996-04-05,13000000.0,2104439.0,2104439.0
The Claim,2000-12-29,13000000.0,622023.0,1375635.0
 Part II,1974-12-11,13000000.0,57300000.0,57300000.0
Operation Chromite,2016-12-31,12700000.0,0.0,0.0
The Prisoner of Zenda,1979-05-25,12500000.0,7000000.0,7000000.0
Glengarry Glen Ross,1992-09-30,12500000.0,10725228.0,10725228.0
La Guerre du feu,1982-02-12,12500000.0,20959585.0,20959585.0
Antwone Fisher,2002-12-19,12500000.0,21078145.0,23367586.0
San cheng ji,2015-12-31,12000000.0,0.0,0.0
Triangle,2009-09-15,12000000.0,0.0,1595168.0
 Pet Detective,1994-02-04,12000000.0,72217396.0,107217396.0
Gwoemul,2007-03-09,12000000.0,2201923.0,92618117.0
One Hour Photo,2002-08-21,12000000.0,31597131.0,52223306.0
Nanjing Nanjing,2009-11-07,12000000.0,122558.0,20122558.0
Patton,1970-01-01,12000000.0,62500000.0,62500000.0
Fortress,1993-09-03,12000000.0,6730578.0,46730578.0
Heaven is for Real,2014-04-16,12000000.0,91386097.0,100919111.0
In the Cut,2003-10-22,12000000.0,4717455.0,23693646.0
House of Flying Daggers,2004-12-03,12000000.0,11050094.0,92863945.0
